monthyear,house price
Oct-2002,252086
Nov-2002,302910
Dec-2002,275383
Jan-2003,257408
Feb-2003,270652
Mar-2003,304878
Apr-2003,301527
May-2003,367378
Jun-2003,339716
Jul-2003,396481
Aug-2003,343348
Sep-2003,376120
Oct-2003,480186
Nov-2003,467394
Dec-2003,472951
Jan-2004,307753
Feb-2004,414272
Mar-2004,428923
Apr-2004,411273
May-2004,411207
Jun-2004,436960
Jul-2004,450964
Aug-2004,445028
Sep-2004,453563
Oct-2004,425217
Nov-2004,458975
Dec-2004,511599
Jan-2005,363622
Feb-2005,433890
Mar-2005,503347
Apr-2005,477051
May-2005,554837
Jun-2005,519589
Jul-2005,546534
Aug-2005,568865
Sep-2005,578948
Oct-2005,566340
Nov-2005,623357
Dec-2005,644884
Jan-2006,474216
Feb-2006,615641
Mar-2006,746463
Apr-2006,624743
May-2006,828402
Jun-2006,735989
Jul-2006,694608
Aug-2006,713550
Sep-2006,614623
Oct-2006,637571
Nov-2006,691754
Dec-2006,618502
Jan-2007,560532
Feb-2007,674596
Mar-2007,816534
Apr-2007,652697
May-2007,883424
Jun-2007,879179
Jul-2007,822972
Aug-2007,856423
Sep-2007,706065
Oct-2007,663817
Nov-2007,640014
Dec-2007,567124
Jan-2008,459874
Feb-2008,524489
Mar-2008,433314
Apr-2008,461796
May-2008,453990
Jun-2008,480941
Jul-2008,484562
Aug-2008,398206
Sep-2008,452961
Oct-2008,511150
Nov-2008,530920
Dec-2008,625424
Jan-2009,495654
Feb-2009,606569
Mar-2009,754629
Apr-2009,699327
May-2009,739427
Jun-2009,724798
Jul-2009,736132
Aug-2009,699998
Sep-2009,752337
Oct-2009,712904
Nov-2009,660016
Dec-2009,750267
Jan-2010,461497
Feb-2010,549341
Mar-2010,677332
Apr-2010,598921
May-2010,664725
Jun-2010,697868
Jul-2010,676785
Aug-2010,622659
Sep-2010,650285
Oct-2010,704598
Nov-2010,851672
Dec-2010,777205
Jan-2011,516745
Feb-2011,505473
Mar-2011,623153
Apr-2011,590191
May-2011,752766
Jun-2011,713019
Jul-2011,660750
Aug-2011,730503
Sep-2011,654046
Oct-2011,652850
Nov-2011,740887
Dec-2011,770931
Jan-2012,571396
Feb-2012,572326
Mar-2012,661418
Apr-2012,670550
May-2012,728416
Jun-2012,685030
Jul-2012,626377
Aug-2012,673349
Sep-2012,629273
Oct-2012,728459
Nov-2012,681861
Dec-2012,636944
Jan-2013,536000
Feb-2013,522627
Mar-2013,618538
Apr-2013,607096
May-2013,703002
Jun-2013,559363
Jul-2013,645387
Aug-2013,625931
Sep-2013,590811
Oct-2013,719598
Nov-2013,803464
Dec-2013,730985
Jan-2014,540863
Feb-2014,596874
Mar-2014,646619
Apr-2014,630453
May-2014,685176
Jun-2014,755923
Jul-2014,726636
Aug-2014,730120
Sep-2014,702625
Oct-2014,808613
Nov-2014,781929
Dec-2014,783615
Jan-2015,534687
Feb-2015,686147
Mar-2015,809726
Apr-2015,749601
May-2015,779422
Jun-2015,864878
Jul-2015,932687
Aug-2015,888863
Sep-2015,1090722
Oct-2015,1042389
Nov-2015,1055323
Dec-2015,1166415
Jan-2016,779909
Feb-2016,884772
Mar-2016,931052
Apr-2016,961916
May-2016,1028654
Jun-2016,1100581
Jul-2016,930554
Aug-2016,1033877
Sep-2016,1017447
Oct-2016,1045992
Nov-2016,1228871
Dec-2016,1168324
Jan-2017,840417
Feb-2017,869884
Mar-2017,1199813
Apr-2017,939647
May-2017,1207434
Jun-2017,1239458
Jul-2017,1094697
Aug-2017,1270798
Sep-2017,1243706
Oct-2017,1296432
Nov-2017,1373446
Dec-2017,1315444
Jan-2018,933323
Feb-2018,1105709
Mar-2018,1195629
